,employee_id,name,dates_of_birth,phone_number,Last_4_SSN
0,6612,Martha Hutchinson,11/14/1970,6230384053,1533
1,4793,Meghan Cervantes,8/20/1992,7208193673,4697
2,8832,April Hanna,4/17/1986,4807207696,1235
3,7044,George Yang,3/15/2001,4804826262,6215
4,4498,Joseph Patrick,10/9/1998,7204132278,4681
5,4037,Spencer White,7/23/1988,4803256914,2451
6,6312,Angela Arellano,2/14/1966,6236184469,1431
7,3872,Willie Hernandez,6/2/1969,4800086520,3826
8,9353,Jose Campbell,3/23/1980,6236922922,5877
9,8989,Robert Adams,2/10/1984,4802609430,3153
10,4625,Richard Gamble,8/10/1959,4804231810,7066
11,6165,Carrie Perkins,1/11/1992,7201047971,6587
12,1366,Marcus Wilson Jr.,3/8/1965,4808496045,7956
13,8716,Terry White,5/26/1980,7206602663,5797
14,7239,Lisa Wood,5/21/1959,7209092749,4766
15,2943,Chad Romero,9/25/1967,6233837070,8471
16,6951,Kathleen Villa,8/4/2005,6238902255,4956
17,6903,Samuel Wells,8/2/1965,6234121136,5141
18,7931,Lori Lewis,11/10/1985,6238606596,1303
19,2850,David Hurst,1/18/1963,6233055993,5658
20,6741,Heather Davis,8/8/1998,4803141335,4461
21,8555,Ms. Lisa Warner MD,8/10/1967,4801886193,9683
22,7574,John Mcfarland MD,7/8/1998,6231406510,7934
23,9451,Amber Chambers,12/31/1971,6230380650,3753
24,4723,Michelle Hunter,3/27/1974,7201477246,4203
25,8841,Michael Snyder,2/18/1976,7209093153,6023
26,1299,Tiffany White,12/3/1994,6239961233,5111
27,7300,Crystal Foley,7/8/1988,7204548529,1945
28,4481,Daniel Boyd,11/14/1997,4808486255,8407
29,9389,Stacey Shaw,2/16/1973,7206066000,8164
30,1502,Jackie Fox,6/12/1975,4801015258,1733
31,9019,Tammy Merritt,3/16/1975,4807343101,5415
32,7884,David Andrews,3/31/2003,4809963912,2034
33,9309,Jason Warren,1/13/1979,4806407667,1193
34,8043,Jennifer Griffin,5/25/1979,6231516104,4508
35,1629,Daniel Hughes,9/20/1983,4808125862,3013
36,3015,Angela Johnson,1/7/2000,6235739399,5189
37,2807,Kayla Jones,7/13/1998,6234017494,9197
38,9320,Andrew Stewart,7/14/1999,7201906822,6673
39,4998,Russell Miller,6/13/1963,7208743367,2603
40,6095,Anthony Horton,3/3/1964,7201935356,7532
41,7291,Carlos Baker,6/17/1963,7201790020,8930
42,4887,Nicholas Carter,2/19/1964,7204319654,4170
43,4555,Paul Thomas,6/7/1980,4800829253,7170
44,4469,Todd Haynes,1/24/1962,7208826109,2203
45,9134,Mark Vance,1/4/1980,6231429637,1930
46,9091,Zachary Graves,1/3/1975,6232779505,3176
47,1133,Kevin Atkins,11/8/1971,4808519944,4480
48,5439,Timothy Chaney,8/30/1996,6233411001,2537
49,5073,James Cole DDS,3/25/1995,4800319657,8812
50,1994,Antonio Nixon,6/10/1961,6234050297,9267
51,4894,Brittney Foster,2/12/1959,6230528373,4861
52,9267,Christopher Christensen,10/21/1958,6230605461,9119
53,6716,Valerie Gonzalez,6/25/1999,7209905496,5266
54,5095,Matthew Clark,10/19/1975,7202092684,5463
55,7663,Amanda Nichols,8/27/1981,4809627068,1738
56,8623,Mrs. Brittany Lee,6/5/1982,4806237634,9090
57,7050,Ryan Baker,8/17/1964,6232169252,1381
58,8606,Joshua Krueger,12/4/1970,6234425659,7651
59,6473,Dwayne Owens,9/2/2003,6237926933,9008
